Project Name,Package Name,Type Name,Code Smell
developer_before_correct,org.apache.cassandra.db,ColumnFamilyStoreTest,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,ColumnsTest,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,ColumnsCheck,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,AbstractColumnContainer,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,AbstractColumnContainer,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,DeletionInfo,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,CounterMutationSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SuperColumn,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,SuperColumnSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,RowMutation,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,RowMutation,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,RowMutation,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,RowMutationSerializer,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,CounterMutationTest,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,ColumnIndex,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,ColumnIndex,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,Builder,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,RowIndexEntry,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,RowIndexEntry,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,IndexSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,Serializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,Serializer,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,IndexedEntry,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,ReadVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,ReadContext,Unnecessary Abstraction
developer_before_correct,org.apache.cassandra.db,ReadContext,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SliceFromReadCommand,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,SliceFromReadCommandSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SliceByNamesReadCommand,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,SliceByNamesReadCommandSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,TypeSizes,Multifaceted Abstraction
developer_before_correct,org.apache.cassandra.db,TypeSizes,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,NativeDBTypeSizes,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,VIntEncodedTypeSizes,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SliceFromReadCommand,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SliceFromReadCommand,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,SliceFromReadCommandSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,Truncation,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,TruncationSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,TruncateResponse,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,TruncateResponse,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,TruncateResponseSerializer,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,CounterMutation,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,CounterMutation,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,CounterMutationSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,RowMutation,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,RowMutation,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,RowMutation,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,RowMutationSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SliceByNamesReadCommand,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SliceByNamesReadCommand,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,SliceByNamesReadCommandSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SnapshotCommand,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,SnapshotCommandSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SystemTable,Deficient Encapsulation
developer_before_correct,com.alibaba.rocketmq.common.protocol.header,SendMessageRequestHeader,Insufficient Modularization
developer_before_correct,com.alibaba.rocketmq.common.protocol.header,PullMessageRequestHeader,Unutilized Abstraction
developer_before_correct,com.alibaba.rocketmq.common.protocol.header,PullMessageRequestHeader,Insufficient Modularization
developer_before_correct,com.alibaba.rocketmq.common.protocol.header,SendMessageRequestHeaderV2,Insufficient Modularization
developer_before_correct,eu.stratosphere.api.java.operators,Grouping,Unutilized Abstraction
developer_before_correct,org.apache.coyote.http11,Http11Processor,Unutilized Abstraction
developer_before_correct,org.apache.coyote.http11,Http11Processor,Insufficient Modularization
developer_before_correct,org.apache.coyote.http11,Http11NioProcessor,Insufficient Modularization
developer_before_correct,org.apache.coyote.http11,Http11AprProcessor,Unutilized Abstraction
developer_before_correct,org.apache.coyote.http11,Http11AprProcessor,Insufficient Modularization
developer_before_correct,org.apache.coyote.http11,Http11Processor,Unutilized Abstraction
developer_before_correct,org.apache.coyote.http11,Http11NioProcessor,Unutilized Abstraction
developer_before_correct,org.apache.coyote.http11,Http11NioProcessor,Insufficient Modularization
developer_before_correct,org.apache.coyote.http11,Http11NioProtocol,Cyclic-Dependent Modularization
developer_before_correct,org.apache.coyote.http11,Http11NioProtocol,Insufficient Modularization
developer_before_correct,org.apache.coyote.http11,Http11ConnectionHandler,Cyclic-Dependent Modularization
developer_before_correct,org.apache.coyote.http11,InternalNioInputBuffer,Insufficient Modularization
developer_before_correct,org.apache.coyote.http11,SocketInputBuffer,Unutilized Abstraction
developer_before_correct,org.apache.coyote.http11,InternalNioOutputBuffer,Insufficient Modularization
developer_before_correct,org.apache.coyote.http11,SocketOutputBuffer,Unutilized Abstraction
developer_before_correct,org.apache.coyote.http11,Http11NioProcessor,Unutilized Abstraction
developer_before_correct,org.apache.coyote.http11,Http11NioProcessor,Insufficient Modularization
developer_before_correct,org.apache.coyote.http11,AbstractOutputBuffer,Unutilized Abstraction
developer_before_correct,org.apache.coyote.http11,AbstractOutputBuffer,Insufficient Modularization
developer_before_correct,org.apache.jorphan.math,StatCalculator,Unutilized Abstraction
developer_before_correct,org.apache.jmeter.engine.util,FunctionParser,Unutilized Abstraction
developer_before_correct,org.apache.jmeter.engine.util,TestValueReplacer,Unutilized Abstraction
developer_before_correct,org.apache.flink.test.util,JavaProgramTestBase,Unutilized Abstraction
developer_before_correct,com.ai.cloud.skywalking.analysis.categorize2chain.model,ChainNode,Insufficient Modularization
developer_before_correct,com.ai.cloud.skywalking.analysis.categorize2chain,Summary,Unutilized Abstraction
developer_before_correct,org.apache.catalina.valves.rewrite,ResolverImpl,Insufficient Modularization
developer_before_correct,org.apache.catalina.valves.rewrite,ResolverImpl,Unutilized Abstraction
developer_before_correct,org.apache.jmeter.save,Test,Unutilized Abstraction
developer_before_correct,org.apache.jmeter.save,DataSource,Unutilized Abstraction
developer_before_correct,org.apache.jmeter.save,DataSource,Deficient Encapsulation
developer_before_correct,org.apache.jmeter.protocol.jdbc.sampler,JDBCSampler,Deficient Encapsulation
developer_before_correct,org.apache.jmeter.protocol.jdbc.config.gui,PoolConfigGui,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.tests.integration.suites,PulsarTieredStorageTestSuite,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.tests.integration.suites,PulsarSQLTestSuite,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.tests.integration.suites,PulsarSQLTestSuite,Deficient Encapsulation
developer_before_correct,org.apache.pulsar.tests.integration.topologies,PulsarClusterTestBase,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.tests.integration.topologies,PulsarClusterTestBase,Broken Hierarchy
developer_before_correct,org.apache.flink.runtime.resourcemanager,TestingResourceManagerFactory,Unutilized Abstraction
developer_before_correct,org.apache.flink.runtime.resourcemanager,Builder,Unutilized Abstraction
developer_before_correct,org.apache.flink.runtime.leaderelection,LeaderChangeClusterComponentsTest,Unutilized Abstraction
developer_before_correct,org.apache.flink.runtime.leaderelection,LeaderChangeClusterComponentsTest,Deficient Encapsulation
developer_before_correct,org.apache.flink.runtime.leaderelection,JobManagerLeaderElectionTest,Unutilized Abstraction
developer_before_correct,org.apache.flink.runtime.leaderelection,JobManagerLeaderElectionTest,Deficient Encapsulation
developer_before_correct,org.apache.flink.runtime.leaderelection,JobManagerLeaderElectionTest,Unutilized Abstraction
developer_before_correct,org.apache.flink.runtime.leaderelection,JobManagerLeaderElectionTest,Deficient Encapsulation
developer_before_correct,org.apache.pulsar.common.util.collections,Section,Unutilized Abstraction
developer_before_correct,org.apache.dubbo.config.deploy,DefaultApplicationDeployer,Insufficient Modularization
developer_before_correct,org.apache.dubbo.qos.command.util,CommandHelperTest,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BrokerDiscoveryProvider,Cyclic-Dependent Modularization
developer_before_correct,org.apache.pulsar.proxy.server,ProxyRolesEnforcementTest,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthenticationData,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,ProxyAuthenticationTest,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthenticationData,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthentication,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthenticationProvider,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,ProxyForwardAuthDataTest,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,ProxyRolesEnforcementTest,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthenticationData,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthentication,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthenticationProvider,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,HttpReverseProxyConfig,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,ProxyService,Cyclic-Dependent Modularization
developer_before_correct,org.apache.pulsar.proxy.server,ProxyAuthenticationTest,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthenticationData,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthentication,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.proxy.server,BasicAuthenticationProvider,Unutilized Abstraction
developer_before_correct,org.apache.flink.runtime.jobmaster.slotpool,SlotPoolUtils,Deficient Encapsulation
developer_before_correct,org.apache.rocketmq.common.filter,FilterAPITest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.broker.processor,ClientManageProcessor,Cyclic-Dependent Modularization
developer_before_correct,org.apache.rocketmq.broker.processor,SendMessageProcessorTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.broker.longpolling,NotifyMessageArrivingListener,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.broker.longpolling,PullRequestHoldService,Cyclic-Dependent Modularization
developer_before_correct,org.apache.rocketmq.store,DefaultMessageStoreTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,MyMessageArrivingListener,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,MessageStore,Insufficient Modularization
developer_before_correct,org.apache.rocketmq.store,DefaultMessageFilter,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,ConsumeQueue,Deficient Encapsulation
developer_before_correct,org.apache.rocketmq.store,ConsumeQueue,Insufficient Modularization
developer_before_correct,org.apache.rocketmq.store,DefaultMessageStoreTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,MyMessageArrivingListener,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,AppendMessageCallback,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,DefaultMessageStoreTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,MyMessageArrivingListener,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,StoreCheckpointTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,MappedFileQueueTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,MappedFileTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store,MultiDispatchTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.common.protocol,ResponseCode,Deficient Encapsulation
developer_before_correct,org.apache.rocketmq.common.protocol,ResponseCode,Broken Modularization
developer_before_correct,org.apache.rocketmq.common.protocol,RequestCode,Deficient Encapsulation
developer_before_correct,org.apache.rocketmq.common.protocol,RequestCode,Broken Modularization
developer_before_correct,org.apache.rocketmq.common.protocol,RequestCode,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.common.protocol,RequestCode,Deficient Encapsulation
developer_before_correct,org.apache.rocketmq.common.protocol,RequestCode,Broken Modularization
developer_before_correct,org.apache.rocketmq.broker.client,ProducerManagerTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store.schedule,ScheduleMessageService,Deficient Encapsulation
developer_before_correct,org.apache.rocketmq.store.schedule,DeliverDelayedMessageTimerTask,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.common.protocol.header,PullMessageRequestHeader,Insufficient Modularization
developer_before_correct,org.apache.rocketmq.client.consumer,MQPushConsumer,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.client.consumer,DefaultMQPushConsumer,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.client.consumer,DefaultMQPushConsumer,Insufficient Modularization
developer_before_correct,org.apache.rocketmq.client.consumer,DefaultMQPullConsumerTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.client.consumer,DefaultMQPushConsumerTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.client.consumer,DefaultMQPullConsumerTest,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.client.impl.consumer,PullMessageService,Cyclic-Dependent Modularization
developer_before_correct,org.apache.rocketmq.store.config,MessageStoreConfig,Insufficient Modularization
developer_before_correct,org.apache.rocketmq.store.config,MessageStoreConfig,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.store.config,MessageStoreConfig,Deficient Encapsulation
developer_before_correct,org.apache.rocketmq.store.config,MessageStoreConfig,Insufficient Modularization
developer_before_correct,org.apache.rocketmq.common.message,Message,Insufficient Modularization
developer_before_correct,org.apache.rocketmq.broker.plugin,AbstractPluginMessageStore,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.broker.plugin,AbstractPluginMessageStore,Insufficient Modularization
developer_before_correct,org.apache.rocketmq.broker.plugin,AbstractPluginMessageStore,Unutilized Abstraction
developer_before_correct,org.apache.rocketmq.broker.plugin,AbstractPluginMessageStore,Insufficient Modularization
developer_before_correct,org.apache.rocketmq.example.benchmark,StatsBenchmarkConsumer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.repair.consistent,PendingAntiCompaction,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.repair.consistent,AcquisitionCallable,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.repair.consistent,AcquisitionCallback,Unutilized Abstraction
developer_before_correct,org.apache.catalina.filters,CsrfPreventionFilter,Unutilized Abstraction
developer_before_correct,org.apache.catalina.filters,CsrfResponseWrapper,Unutilized Abstraction
developer_before_correct,org.apache.pulsar.broker.service.persistent,MessageRedeliveryController,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db.partitions,CachedBTreePartition,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db.partitions,Serializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db.partitions,AbstractBTreePartition,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db.partitions,AbstractBTreePartition,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db.partitions,AbstractIterator,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db.partitions,SlicesIterator,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db.partitions,SliceableIterator,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db.partitions,SliceableIterator,Broken Hierarchy
