Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
finetuned_correct2,(default package),DefaultMQAdminExtImpl,17,0,5,4,73,15,0,0,0.4,0,1
finetuned_correct2,(default package),name,8,0,0,0,9,0,0,0,-1.0,14,3
finetuned_correct2,(default package),TestUtils,0,0,4,4,19,4,0,0,-1.0,1,0
finetuned_correct2,(default package),JobManagerHAJobGraphRecoveryITCase,9,1,2,2,17,2,0,0,0.0,0,0
finetuned_correct2,(default package),HAService,21,0,27,21,295,56,0,0,0.1111111111111111,1,1
finetuned_correct2,(default package),AcceptSocketService,3,0,3,3,53,8,0,0,0.0,0,0
finetuned_correct2,(default package),GroupTransferService,2,0,4,3,54,10,0,0,0.5,0,0
finetuned_correct2,(default package),HAClient,8,0,8,3,117,22,0,0,0.25,2,1
finetuned_correct2,(default package),ExtensionLoader,47,0,20,10,289,60,0,0,0.3,6,1
finetuned_correct2,(default package),loading,13,0,0,0,17,0,0,0,-1.0,0,0
finetuned_correct2,(default package),instead,7,0,0,0,9,0,0,0,-1.0,14,0
finetuned_correct2,(default package),GrpcStatus,32,0,16,14,164,35,0,0,0.3125,0,1
finetuned_correct2,(default package),to,15,0,1,0,23,1,0,0,0.0,0,0
finetuned_correct2,(default package),and,3,0,1,0,7,1,0,0,0.0,0,0
finetuned_correct2,(default package),TestCmdSinksRefactored,38,0,9,8,97,11,0,0,0.4444444444444444,0,3
finetuned_correct2,(default package),ColumnFamilyStore,19,0,10,4,72,11,0,0,0.6,0,5
finetuned_correct2,(default package),ColumnFamilyStoreManager,4,0,3,1,28,4,0,0,0.6666666666666666,0,2
finetuned_correct2,(default package),that,10,0,0,0,12,0,0,0,-1.0,17,3
finetuned_correct2,(default package),LocalBookkeeperEnsemble,49,0,9,3,151,16,0,0,0.4444444444444444,0,4
finetuned_correct2,(default package),MapNode,1,0,10,7,98,21,0,0,1.0,0,0
finetuned_correct2,(default package),TwoInputNode,4,0,9,9,135,31,0,0,0.2222222222222222,0,0
finetuned_correct2,(default package),GraphVisualizer,20,0,1,1,30,1,0,0,0.0,0,1
finetuned_correct2,(default package),JMeterConstants,23,0,0,0,25,0,0,0,-1.0,0,2
