Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
codellama_correct,(default package),ProxyAuthenticationTest,getAuthMethodName,3,1,0
codellama_correct,(default package),ProxyAuthenticationTest,getAuthData,8,1,0
codellama_correct,(default package),ProxyAuthenticationTest,configure,3,1,1
codellama_correct,(default package),ProxyAuthenticationTest,start,2,1,0
codellama_correct,(default package),ProxyAuthenticationTest,close,2,1,0
codellama_correct,(default package),ProxyAuthenticationTest,initialize,2,1,1
codellama_correct,(default package),ProxyAuthenticationTest,getAuthMethodName,3,1,0
codellama_correct,(default package),ProxyAuthenticationTest,authenticate,17,4,1
codellama_correct,(default package),ProxyAuthenticationTest,setup,0,1,0
codellama_correct,(default package),BasicAuthenticationData,BasicAuthenticationData,3,1,1
codellama_correct,(default package),BasicAuthenticationData,hasDataFromCommand,3,1,0
codellama_correct,(default package),BasicAuthenticationData,getCommandData,3,1,0
codellama_correct,(default package),BasicAuthenticationData,hasDataForHttp,3,1,0
codellama_correct,(default package),BasicAuthenticationData,getHttpHeaders,5,1,0
codellama_correct,(default package),BasicAuthentication,close,2,1,0
codellama_correct,(default package),BasicAuthentication,getAuthMethodName,3,1,0
codellama_correct,(default package),BasicAuthentication,getAuthData,8,1,0
codellama_correct,(default package),BasicAuthentication,configure,3,1,1
codellama_correct,(default package),BasicAuthentication,start,2,1,0
codellama_correct,(default package),BasicAuthenticationProvider,close,2,1,0
codellama_correct,(default package),BasicAuthenticationProvider,initialize,2,1,1
codellama_correct,(default package),BasicAuthenticationProvider,getAuthMethodName,3,1,0
codellama_correct,(default package),BasicAuthenticationProvider,authenticate,17,4,1
codellama_correct,(default package),StreamInSession,StreamInSession,4,1,2
codellama_correct,(default package),StreamInSession,create,6,1,2
codellama_correct,(default package),StreamInSession,get,11,3,2
codellama_correct,(default package),StreamInSession,setCurrentFile,3,1,1
codellama_correct,(default package),StreamInSession,setTable,3,1,1
codellama_correct,(default package),StreamInSession,addFiles,11,4,1
codellama_correct,(default package),StreamInSession,finished,13,3,2
codellama_correct,(default package),StreamInSession,retry,5,1,1
codellama_correct,(default package),StreamInSession,closeIfFinished,31,6,0
codellama_correct,(default package),StreamInSession,getSessionId,3,1,0
codellama_correct,(default package),StreamInSession,getHost,3,1,0
codellama_correct,(default package),StreamInSession,getSources,7,2,0
codellama_correct,(default package),StreamInSession,getIncomingFiles,13,4,1
codellama_correct,(default package),StreamOutSession,StreamOutSession,5,1,3
codellama_correct,(default package),StreamOutSession,getHost,3,1,0
codellama_correct,(default package),StreamOutSession,getSessionId,3,1,0
codellama_correct,(default package),StreamOutSession,addFilesToStream,5,2,1
codellama_correct,(default package),StreamOutSession,retry,3,1,0
codellama_correct,(default package),StreamOutSession,streamFile,5,1,1
codellama_correct,(default package),StreamOutSession,startNext,6,2,0
codellama_correct,(default package),StreamOutSession,close,4,2,0
codellama_correct,(default package),StreamOutSession,getFiles,3,1,0
codellama_correct,(default package),StreamOutSession,getDestinations,7,2,0
codellama_correct,(default package),StreamOutSession,getOutgoingFiles,7,3,1
codellama_correct,(default package),StreamOutSession,validateCurrentFile,3,2,1
codellama_correct,(default package),StreamOutSession,begin,8,1,0
codellama_correct,(default package),RemoveTest,setup,14,2,0
codellama_correct,(default package),RemoveTest,tearDown,5,1,0
codellama_correct,(default package),RemoveTest,testBadToken,4,1,0
