Project Name,Package Name,Type Name,Method Name,Code Smell
codellama_correct,(default package),RuntimeUtils,getCmd,Long Identifier
codellama_correct,(default package),RuntimeUtils,getCmd,Long Parameter List
codellama_correct,(default package),FiltersrvController,initialize,Magic Number
codellama_correct,(default package),FiltersrvController,initialize,Magic Number
codellama_correct,(default package),FiltersrvController,registerFilterServerToBroker,Long Statement
codellama_correct,(default package),FiltersrvController,registerFilterServerToBroker,Long Statement
codellama_correct,(default package),FiltersrvController,registerFilterServerToBroker,Long Statement
codellama_correct,(default package),InnerTableModel,addNewRow,Magic Number
codellama_correct,(default package),InnerTableModel,clearData,Magic Number
codellama_correct,(default package),InnerTableModel,getManager,Magic Number
codellama_correct,(default package),InnerTableModel,getManager,Magic Number
codellama_correct,(default package),TitlePanel,makeBorder,Long Statement
codellama_correct,(default package),CompactionParams,create,Long Identifier
codellama_correct,(default package),CompactionParams,create,Long Statement
codellama_correct,(default package),CompactionParams,create,Long Statement
codellama_correct,(default package),CompactionParams,validate,Long Statement
codellama_correct,(default package),CompactionParams,validate,Long Statement
codellama_correct,(default package),StressAction,run,Complex Method
codellama_correct,(default package),StressAction,run,Long Statement
codellama_correct,(default package),StressAction,run,Magic Number
codellama_correct,(default package),StressAction,run,Magic Number
codellama_correct,(default package),Media,Media,Long Parameter List
codellama_correct,(default package),Media,equals,Complex Method
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,hashCode,Magic Number
codellama_correct,(default package),Media,toString,Long Statement
codellama_correct,(default package),NettyChannel,send,Long Statement
codellama_correct,(default package),NettyChannel,send,Long Statement
codellama_correct,(default package),NettyChannel,hashCode,Magic Number
codellama_correct,(default package),FastJsonSerializationTest,test_MediaContent,Magic Number
codellama_correct,(default package),FastJsonSerializationTest,test_MediaContent_WithType,Magic Number
codellama_correct,(default package),FastJsonSerializationTest,test_LoopReference,Magic Number
codellama_correct,(default package),FastJsonSerializationTest,test_Person,Magic Number
codellama_correct,(default package),FastJsonSerializationTest,test_Person,Magic Number
codellama_correct,(default package),FastJsonSerializationTest,test_PersonList,Magic Number
codellama_correct,(default package),FastJsonSerializationTest,test_PersonSet,Magic Number
codellama_correct,(default package),EnumBak,testNormal,Magic Number
codellama_correct,(default package),EnumBak,testExportService,Magic Number
codellama_correct,(default package),EnumBak,testEnumCompat,Magic Number
codellama_correct,(default package),EnumBak,testGenricEnumCompat,Long Statement
codellama_correct,(default package),EnumBak,testGenricEnumCompat,Magic Number
codellama_correct,(default package),EnumBak,testGenricCustomArg,Magic Number
codellama_correct,(default package),ZookeeperRegistry,ZookeeperRegistry,Long Statement
codellama_correct,(default package),ZookeeperRegistry,ZookeeperRegistry,Magic Number
codellama_correct,(default package),ZookeeperRegistry,register,Long Statement
